date,sh_margin_y,sz_margin_y,total_margin_y,sh_change_y,sh_change_pct,sz_change_y,sz_change_pct,total_change_y,total_change_pct,source,sample_status
2015-01-15,7623.82827637,3437.92509454,11061.75337091,126.32102064,1.68484026,25.91224564,0.75944162,152.23326628,1.39541671,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-16,7666.60200847,3447.02543733,11113.62744580,42.77373210,0.56105319,9.10034279,0.26470451,51.87407489,0.46894984,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-19,7520.47988453,3408.06323416,10928.54311869,-146.12212394,-1.90595682,-38.96220317,-1.13031377,-185.08432711,-1.66538178,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-20,7507.62421151,3401.26356514,10908.88777665,-12.85567302,-0.17094219,-6.79966902,-0.19951710,-19.65534204,-0.17985327,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-21,7545.95954233,3410.25863121,10956.21817354,38.33533082,0.51061867,8.99506607,0.26446248,47.33039689,0.43387005,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-22,7616.68956446,3442.39309794,11059.08266240,70.73002213,0.93732310,32.13446673,0.94228826,102.86448886,0.93886857,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-23,7660.38511313,3459.78090123,11120.16601436,43.69554867,0.57368163,17.38780329,0.50510801,61.08335196,0.55233652,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-26,7713.73532853,3487.77876608,11201.51409461,53.35021540,0.69644299,27.99786485,0.80923809,81.34808025,0.73153656,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-27,7738.37742011,3507.54154067,11245.91896078,24.64209158,0.31945731,19.76277459,0.56662925,44.40486617,0.39641843,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-28,7759.33490835,3518.51747816,11277.85238651,20.95748824,0.27082536,10.97593749,0.31292395,31.93342573,0.28395568,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-29,7775.61647997,3527.32777953,11302.94425950,16.28157162,0.20983205,8.81030137,0.25039811,25.09187299,0.22248804,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-01-30,7739.77698926,3519.55320963,11259.33019889,-35.83949071,-0.46092153,-7.77456990,-0.22040962,-43.61406061,-0.38586460,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-02-02,7748.66786825,3525.61010716,11274.27797541,8.89087899,0.11487255,6.05689753,0.17209280,14.94777652,0.13275902,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-02-03,7737.41930732,3529.58981329,11267.00912061,-11.24856093,-0.14516767,3.97970613,0.11287993,-7.26885480,-0.06447291,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-02-04,7747.70652233,3547.05059515,11294.75711748,10.28721501,0.13295408,17.46078186,0.49469720,27.74799687,0.24627651,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-02-05,7779.70437249,3573.90541396,11353.60978645,31.99785016,0.41299771,26.85481881,0.75710278,58.85266897,0.52106184,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-02-06,7796.41865766,3585.19133183,11381.60998949,16.71428517,0.21484473,11.28591787,0.31578670,28.00020304,0.24661939,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-02-09,7867.47284226,3610.64738115,11478.12022341,71.05418460,0.91136954,25.45604932,0.71003322,96.51023392,0.84794888,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-02-10,7978.91845821,3662.37990662,11641.29836483,111.44561595,1.41653639,51.73252547,1.43277701,163.17814142,1.42164517,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-02-11,8051.11175134,3688.45039520,11739.56214654,72.19329313,0.90480049,26.07048858,0.71184556,98.26378171,0.84409641,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-02-12,8040.93283315,3688.26323472,11729.19606787,-10.17891819,-0.12642873,-0.18716048,-0.00507423,-10.36607867,-0.08830039,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-02-13,7791.62373527,3600.03378069,11391.65751596,-249.30909788,-3.10049969,-88.22945403,-2.39216803,-337.53855191,-2.87776374,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-02-16,7729.80408663,3596.94721711,11326.75130374,-61.81964864,-0.79341163,-3.08656358,-0.08573707,-64.90621222,-0.56976969,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-02-17,7534.61212526,3523.16072724,11057.77285250,-195.19196137,-2.52518640,-73.78648987,-2.05136427,-268.97845124,-2.37471843,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2015-02-25,7709.68145360,3646.32460913,11356.00606273,175.06932834,2.32353471,123.16388189,3.49583489,298.23321023,2.69704591,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
